Button clicked,k,93,+,2019-06-11 10:49:39.159477,3,2
Button clicked,k,80,9,2019-06-11 10:49:39.344745,3,2
Button clicked,k,120,+,2019-06-11 10:49:39.928610,3,2
Button clicked,k,85,1,2019-06-11 10:49:40.662525,3,2
Button clicked,k,110,0,2019-06-11 10:49:40.815494,3,2
Button clicked,k,88,+,2019-06-11 10:49:41.005922,3,2
Button clicked,k,82,1,2019-06-11 10:49:41.176768,3,2
Button clicked,k,73,1,2019-06-11 10:49:41.337960,3,2
Button clicked,k,89,+,2019-06-11 10:49:41.579042,3,2
Button clicked,k,93,1,2019-06-11 10:49:41.770375,3,2
Button clicked,k,79,2,2019-06-11 10:49:41.951994,3,2
Button clicked,k,70,+,2019-06-11 10:49:42.098485,3,2
Button clicked,k,89,1,2019-06-11 10:49:42.278783,3,2
Button clicked,k,76,3,2019-06-11 10:49:42.556444,3,2
Button clicked,k,63,+,2019-06-11 10:49:43.000511,3,2
Button clicked,k,71,1,2019-06-11 10:49:43.145548,3,2
Button clicked,k,71,4,2019-06-11 10:49:43.396483,3,2
Button clicked,k,85,+,2019-06-11 10:49:43.565383,3,2
Button clicked,k,90,1,2019-06-11 10:49:43.732355,3,2
Button clicked,k,80,5,2019-06-11 10:49:44.355300,3,2
Button clicked,k,79,+,2019-06-11 10:49:44.608370,3,2
Button clicked,k,97,1,2019-06-11 10:49:44.812463,3,2
Button clicked,k,81,6,2019-06-11 10:49:45.243262,3,2
Button clicked,k,97,+,2019-06-11 10:49:45.527252,3,2
Button clicked,k,83,1,2019-06-11 10:49:45.752322,3,2
Button clicked,k,76,7,2019-06-11 10:49:46.193224,3,2
Button clicked,k,99,+,2019-06-11 10:49:46.472184,3,2
Button clicked,k,96,1,2019-06-11 10:49:46.668170,3,2
Button clicked,k,81,8,2019-06-11 10:49:47.397273,3,2
Button clicked,k,120,+,2019-06-11 10:49:47.637088,3,2
Button clicked,k,76,1,2019-06-11 10:49:47.951258,3,2
